window,n_groups,rho,p_value,rho_random,top_group_match,group_attn,group_sens,error
0,4,-0.6000000000000001,0.4,-0.7999999999999999,False,"[0.3182, 0.251, 0.1341, 0.1203]","[0.009461, 0.007991, 0.012348, 0.010495]",
1,6,-0.028571428571428574,0.9571545189504373,0.08571428571428573,True,"[0.1167, 0.1223, 0.1699, 0.139, 0.1322, 0.1202]","[0.005953, 0.005642, 0.006122, 0.005415, 0.005157, 0.006112]",
2,5,0.19999999999999998,0.7470600781046621,0.49999999999999994,False,"[0.2666, 0.1039, 0.141, 0.1656, 0.143]","[0.00543, 0.006227, 0.00274, 0.007866, 0.00391]",
3,6,0.2,0.7040000000000001,0.3714285714285715,False,"[0.1144, 0.127, 0.1162, 0.1229, 0.1461, 0.1505]","[0.000622, 0.00049, 0.00097, 0.000743, 0.000842, 0.000843]",
4,6,0.7714285714285715,0.07239650145772594,0.2571428571428572,True,"[0.1344, 0.11, 0.1497, 0.1212, 0.157, 0.1258]","[0.001502, 0.001113, 0.003306, 0.000989, 0.005709, 0.003507]",
5,5,0.3,0.623837664781073,0.8999999999999998,True,"[0.2779, 0.1181, 0.1417, 0.1245, 0.1074]","[0.018073, 0.010049, 0.007521, 0.009402, 0.009226]",
6,5,0.39999999999999997,0.5046315754686912,-0.7,True,"[0.2644, 0.1138, 0.1723, 0.1309, 0.1228]","[0.014558, 0.012866, 0.011577, 0.013308, 0.01319]",
7,5,0.49999999999999994,0.3910022189557703,0.39999999999999997,True,"[0.1065, 0.2546, 0.1634, 0.1185, 0.1178]","[0.026278, 0.047486, 0.028339, 0.021598, 0.032378]",
8,6,-0.7714285714285715,0.07239650145772594,0.3142857142857143,False,"[0.1068, 0.1184, 0.1512, 0.1609, 0.1183, 0.1115]","[0.082091, 0.081775, 0.079869, 0.066579, 0.07176, 0.102959]",
9,6,0.2571428571428572,0.6227871720116619,-0.8857142857142858,False,"[0.1184, 0.1051, 0.1474, 0.1616, 0.1347, 0.1197]","[0.011907, 0.010787, 0.013025, 0.011143, 0.012676, 0.014632]",
10,6,0.08571428571428573,0.8717434402332361,0.14285714285714288,False,"[0.1216, 0.0979, 0.165, 0.1649, 0.1394, 0.1017]","[0.02672, 0.021752, 0.025376, 0.023334, 0.031528, 0.030128]",
11,5,0.09999999999999999,0.8728885715695384,0.7,True,"[0.1089, 0.243, 0.1557, 0.1348, 0.1352]","[0.037348, 0.043972, 0.030926, 0.0404, 0.032269]",
12,6,0.3142857142857143,0.5440932944606415,-0.5428571428571429,False,"[0.1157, 0.1157, 0.1759, 0.1446, 0.1242, 0.1284]","[0.008755, 0.012743, 0.012962, 0.009633, 0.032256, 0.01126]",
