window,n_groups,rho,p_value,rho_random,top_group_match,group_attn,group_sens,error
0,6,0.7714285714285715,0.07239650145772594,0.7142857142857143,False,"[0.144, 0.1238, 0.1609, 0.1254, 0.1395, 0.137]","[0.021208, 0.013723, 0.020877, 0.019272, 0.017607, 0.019658]",
1,5,0.7999999999999999,0.10408803866182788,-0.3,True,"[0.2976, 0.1104, 0.1354, 0.1429, 0.1165]","[0.008678, 0.002282, 0.003601, 0.002357, 0.002239]",
2,5,0.3,0.623837664781073,0.09999999999999999,True,"[0.2748, 0.1349, 0.127, 0.1536, 0.1209]","[0.000136, 4.3e-05, 8.9e-05, 0.000102, 0.000109]",
3,6,-0.4285714285714286,0.3965014577259473,0.3714285714285715,False,"[0.1056, 0.1312, 0.1523, 0.1153, 0.1242, 0.1502]","[0.006756, 0.003692, 0.006279, 0.004126, 0.007826, 0.002584]",
4,5,-0.7,0.1881204043741873,-0.09999999999999999,False,"[0.2533, 0.101, 0.1427, 0.125, 0.1237]","[0.000903, 0.001012, 0.000962, 0.001358, 0.001794]",
5,4,0.39999999999999997,0.6,0.19999999999999998,False,"[0.2586, 0.1135, 0.1341, 0.2645]","[0.001676, 0.000983, 0.001137, 0.001001]",
6,5,0.7,0.1881204043741873,-0.09999999999999999,True,"[0.2877, 0.1016, 0.1269, 0.1479, 0.13]","[0.007711, 0.002031, 0.003839, 0.003223, 0.004979]",
7,5,-0.8999999999999998,0.03738607346849874,-0.7,False,"[0.2886, 0.1194, 0.1493, 0.1315, 0.1306]","[0.00173, 0.003973, 0.002708, 0.003943, 0.002989]",
8,6,-0.08571428571428573,0.8717434402332361,-0.14285714285714288,False,"[0.1227, 0.1067, 0.1541, 0.1736, 0.1197, 0.1195]","[0.005781, 0.00503, 0.004771, 0.005636, 0.004515, 0.021544]",
9,6,-0.6571428571428573,0.1561749271137024,-0.4285714285714286,False,"[0.1211, 0.1165, 0.1654, 0.1343, 0.1141, 0.1259]","[0.001794, 0.001857, 0.001714, 0.001767, 0.001899, 0.002198]",
10,6,-0.5428571428571429,0.26570262390670546,-0.3714285714285715,False,"[0.1142, 0.1033, 0.1646, 0.1338, 0.1311, 0.1064]","[0.027547, 0.027512, 0.023465, 0.023448, 0.035792, 0.03945]",
11,6,-0.2571428571428572,0.6227871720116619,-0.7714285714285715,False,"[0.1235, 0.1171, 0.1545, 0.1564, 0.1462, 0.1109]","[0.00267, 0.005498, 0.004611, 0.001994, 0.012133, 0.004471]",
12,6,-0.2571428571428572,0.6227871720116619,0.3714285714285715,False,"[0.1216, 0.1212, 0.1596, 0.1441, 0.1106, 0.1189]","[0.013426, 0.01478, 0.009055, 0.016012, 0.010227, 0.024521]",
13,5,0.39999999999999997,0.5046315754686912,0.09999999999999999,True,"[0.3374, 0.1189, 0.1354, 0.1276, 0.1145]","[0.010926, 0.006829, 0.00847, 0.006835, 0.009833]",
14,5,0.8999999999999998,0.03738607346849874,0.7,True,"[0.288, 0.1101, 0.1245, 0.159, 0.1684]","[0.030645, 0.022826, 0.01581, 0.025152, 0.029137]",
15,4,1.0,0.0,0.39999999999999997,True,"[0.292, 0.2535, 0.1224, 0.1367]","[0.566374, 0.517732, 0.361788, 0.404603]",
16,5,-0.39999999999999997,0.5046315754686912,0.19999999999999998,False,"[0.2811, 0.1236, 0.1325, 0.1389, 0.1184]","[0.032298, 0.038991, 0.032946, 0.044909, 0.042367]",
17,5,0.09999999999999999,0.8728885715695384,0.9999999999999999,True,"[0.2825, 0.1177, 0.1209, 0.1521, 0.1215]","[0.018555, 0.011765, 0.01113, 0.010993, 0.008745]",
18,6,-0.08571428571428573,0.8717434402332361,0.3142857142857143,False,"[0.1278, 0.1155, 0.1864, 0.1433, 0.1209, 0.1132]","[0.023265, 0.02741, 0.026123, 0.026401, 0.035191, 0.02386]",
19,4,-0.39999999999999997,0.6,0.39999999999999997,False,"[0.302, 0.2413, 0.1634, 0.109]","[0.017316, 0.069331, 0.034766, 0.035195]",
