window,n_groups,rho,p_value,rho_random,top_group_match,group_attn,group_sens,error
0,3,-0.5,0.6666666666666666,-0.5,False,"[0.279, 0.2076, 0.1994]","[0.227586, 0.271136, 0.242261]",
1,3,-0.5,0.6666666666666666,1.0,False,"[0.2666, 0.2464, 0.2157]","[0.017382, 0.012214, 0.02693]",
2,3,1.0,0.0,0.5,True,"[0.2943, 0.2303, 0.2208]","[0.025718, 0.021938, 0.018174]",
3,3,0.5,0.6666666666666666,-1.0,False,"[0.252, 0.2491, 0.2259]","[0.009114, 0.018949, 0.00552]",
4,3,1.0,0.0,1.0,True,"[0.2442, 0.2477, 0.2326]","[0.008075, 0.018776, 0.005235]",
5,3,0.5,0.6666666666666666,-0.5,True,"[0.2804, 0.2456, 0.216]","[0.027051, 0.005266, 0.006648]",
6,3,-0.5,0.6666666666666666,0.5,False,"[0.2852, 0.2317, 0.2121]","[0.012256, 0.006585, 0.014661]",
7,3,-0.5,0.6666666666666666,0.5,False,"[0.2713, 0.2179, 0.2435]","[0.042229, 0.044789, 0.047874]",
8,3,-0.5,0.6666666666666666,-0.5,False,"[0.2678, 0.2316, 0.2339]","[0.022893, 0.026797, 0.043356]",
9,3,-0.5,0.6666666666666666,-0.5,False,"[0.2722, 0.2205, 0.2307]","[0.051708, 0.055012, 0.048647]",
10,3,1.0,0.0,-0.5,True,"[0.2506, 0.2436, 0.2456]","[0.047976, 0.025574, 0.039466]",
11,3,0.5,0.6666666666666666,-0.5,True,"[0.2876, 0.2536, 0.2169]","[0.065073, 0.04686, 0.053961]",
12,3,-0.5,0.6666666666666666,1.0,False,"[0.2939, 0.2457, 0.2143]","[0.007023, 0.035822, 0.03455]",
13,3,-0.5,0.6666666666666666,-0.5,False,"[0.279, 0.2495, 0.2263]","[0.00619, 0.025028, 0.019567]",
14,3,-0.5,0.6666666666666666,-0.5,False,"[0.271, 0.236, 0.2112]","[0.042512, 0.063143, 0.046349]",
15,3,1.0,0.0,0.5,True,"[0.2454, 0.2532, 0.2205]","[0.010536, 0.023103, 0.005615]",
