window,rho,p_value,rho_random,top_attention_covariate,top_sensitivity_covariate,top_driver_match,importance,sensitivity,error
0,-0.08571428571428573,0.8717434402332361,-0.6571428571428573,MUFL,LUFL,False,"{""MUFL"": 0.195419, ""LUFL"": 0.134137, ""MULL"": 0.127163, ""HULL"": 0.123821, ""HUFL"": 0.122807, ""LULL"": 0.120335}","{""HUFL"": 0.010284, ""HULL"": 0.009043, ""MUFL"": 0.00994, ""MULL"": 0.009235, ""LUFL"": 0.012348, ""LULL"": 0.010495}",
1,-0.028571428571428574,0.9571545189504373,-0.028571428571428574,MUFL,MUFL,True,"{""MUFL"": 0.169879, ""MULL"": 0.138984, ""LUFL"": 0.13219, ""HULL"": 0.122297, ""LULL"": 0.120174, ""HUFL"": 0.116712}","{""HUFL"": 0.005953, ""HULL"": 0.005642, ""MUFL"": 0.006122, ""MULL"": 0.005415, ""LUFL"": 0.005157, ""LULL"": 0.006112}",
2,0.08571428571428573,0.8717434402332361,0.6,LUFL,LUFL,True,"{""LUFL"": 0.165607, ""LULL"": 0.143019, ""MULL"": 0.140979, ""HUFL"": 0.133523, ""MUFL"": 0.133054, ""HULL"": 0.103854}","{""HUFL"": 0.002062, ""HULL"": 0.006227, ""MUFL"": 0.005013, ""MULL"": 0.00274, ""LUFL"": 0.007866, ""LULL"": 0.00391}",
3,0.2,0.7040000000000001,-0.3142857142857143,LULL,MUFL,False,"{""LULL"": 0.150456, ""LUFL"": 0.14605, ""HULL"": 0.126998, ""MULL"": 0.122859, ""MUFL"": 0.116197, ""HUFL"": 0.114401}","{""HUFL"": 0.000622, ""HULL"": 0.00049, ""MUFL"": 0.00097, ""MULL"": 0.000743, ""LUFL"": 0.000842, ""LULL"": 0.000843}",
4,0.7714285714285715,0.07239650145772594,0.5428571428571429,LUFL,LUFL,True,"{""LUFL"": 0.156978, ""MUFL"": 0.149683, ""HUFL"": 0.134443, ""LULL"": 0.125848, ""MULL"": 0.121189, ""HULL"": 0.109963}","{""HUFL"": 0.001502, ""HULL"": 0.001113, ""MUFL"": 0.003306, ""MULL"": 0.000989, ""LUFL"": 0.005709, ""LULL"": 0.003507}",
5,-0.028571428571428574,0.9571545189504373,0.4285714285714286,MUFL,HUFL,False,"{""MUFL"": 0.166397, ""MULL"": 0.1417, ""LUFL"": 0.124494, ""HULL"": 0.118118, ""HUFL"": 0.111461, ""LULL"": 0.107437}","{""HUFL"": 0.012514, ""HULL"": 0.010049, ""MUFL"": 0.012252, ""MULL"": 0.007521, ""LUFL"": 0.009402, ""LULL"": 0.009226}",
6,-0.3142857142857143,0.5440932944606415,0.2,MULL,LUFL,False,"{""MULL"": 0.172283, ""MUFL"": 0.147431, ""LUFL"": 0.130863, ""LULL"": 0.122819, ""HUFL"": 0.116983, ""HULL"": 0.113847}","{""HUFL"": 0.012076, ""HULL"": 0.012866, ""MUFL"": 0.012451, ""MULL"": 0.011577, ""LUFL"": 0.013308, ""LULL"": 0.01319}",
7,0.08571428571428573,0.8717434402332361,-0.028571428571428574,MUFL,LULL,False,"{""MUFL"": 0.163382, ""MULL"": 0.146643, ""LUFL"": 0.11851, ""LULL"": 0.117836, ""HULL"": 0.107945, ""HUFL"": 0.1065}","{""HUFL"": 0.026278, ""HULL"": 0.029261, ""MUFL"": 0.028339, ""MULL"": 0.029976, ""LUFL"": 0.021598, ""LULL"": 0.032378}",
8,-0.7714285714285715,0.07239650145772594,-0.028571428571428574,MULL,LULL,False,"{""MULL"": 0.160936, ""MUFL"": 0.151178, ""HULL"": 0.118372, ""LUFL"": 0.118272, ""LULL"": 0.111458, ""HUFL"": 0.106806}","{""HUFL"": 0.082091, ""HULL"": 0.081775, ""MUFL"": 0.079869, ""MULL"": 0.066579, ""LUFL"": 0.07176, ""LULL"": 0.102959}",
9,0.2571428571428572,0.6227871720116619,0.2,MULL,LULL,False,"{""MULL"": 0.161604, ""MUFL"": 0.147424, ""LUFL"": 0.13475, ""LULL"": 0.119656, ""HUFL"": 0.118436, ""HULL"": 0.105121}","{""HUFL"": 0.011907, ""HULL"": 0.010787, ""MUFL"": 0.013025, ""MULL"": 0.011143, ""LUFL"": 0.012676, ""LULL"": 0.014632}",
