window,rho,p_value,rho_random,top_attention_covariate,top_sensitivity_covariate,top_driver_match,importance,sensitivity,error
0,0.7714285714285715,0.07239650145772594,0.3714285714285715,MUFL,HUFL,False,"{""MUFL"": 0.160921, ""HUFL"": 0.144002, ""LUFL"": 0.139528, ""LULL"": 0.137001, ""MULL"": 0.125414, ""HULL"": 0.12382}","{""HUFL"": 0.021208, ""HULL"": 0.013723, ""MUFL"": 0.020877, ""MULL"": 0.019272, ""LUFL"": 0.017607, ""LULL"": 0.019658}",
1,0.48571428571428577,0.3287230320699708,-0.48571428571428577,MUFL,MULL,False,"{""MUFL"": 0.169111, ""LUFL"": 0.14288, ""MULL"": 0.13544, ""HUFL"": 0.128512, ""LULL"": 0.116517, ""HULL"": 0.110379}","{""HUFL"": 0.002972, ""HULL"": 0.002282, ""MUFL"": 0.002758, ""MULL"": 0.003601, ""LUFL"": 0.002357, ""LULL"": 0.002239}",
2,-0.3714285714285715,0.4684781341107872,-0.7142857142857143,LUFL,LULL,False,"{""LUFL"": 0.153588, ""HUFL"": 0.141998, ""HULL"": 0.13489, ""MUFL"": 0.132814, ""MULL"": 0.127028, ""LULL"": 0.120935}","{""HUFL"": 5.2e-05, ""HULL"": 4.3e-05, ""MUFL"": 7.7e-05, ""MULL"": 8.9e-05, ""LUFL"": 0.000102, ""LULL"": 0.000109}",
3,-0.4285714285714286,0.3965014577259473,0.5428571428571429,MUFL,LUFL,False,"{""MUFL"": 0.152252, ""LULL"": 0.150218, ""HULL"": 0.131201, ""LUFL"": 0.124178, ""MULL"": 0.115256, ""HUFL"": 0.105618}","{""HUFL"": 0.006756, ""HULL"": 0.003692, ""MUFL"": 0.006279, ""MULL"": 0.004126, ""LUFL"": 0.007826, ""LULL"": 0.002584}",
4,-0.48571428571428577,0.3287230320699708,-0.08571428571428573,MUFL,LULL,False,"{""MUFL"": 0.144517, ""MULL"": 0.142662, ""LUFL"": 0.124998, ""LULL"": 0.123716, ""HUFL"": 0.108754, ""HULL"": 0.10095}","{""HUFL"": 0.001152, ""HULL"": 0.001012, ""MUFL"": 0.000946, ""MULL"": 0.000962, ""LUFL"": 0.001358, ""LULL"": 0.001794}",
5,-0.5428571428571429,0.26570262390670546,0.14285714285714288,MUFL,LUFL,False,"{""MUFL"": 0.1417, ""LULL"": 0.137054, ""MULL"": 0.134063, ""LUFL"": 0.127422, ""HUFL"": 0.116924, ""HULL"": 0.113513}","{""HUFL"": 0.001277, ""HULL"": 0.000983, ""MUFL"": 0.000881, ""MULL"": 0.001137, ""LUFL"": 0.001628, ""LULL"": 0.000677}",
6,0.3142857142857143,0.5440932944606415,0.14285714285714288,MUFL,LULL,False,"{""MUFL"": 0.154952, ""LUFL"": 0.147913, ""HUFL"": 0.132756, ""LULL"": 0.129996, ""MULL"": 0.126861, ""HULL"": 0.101635}","{""HUFL"": 0.003426, ""HULL"": 0.002031, ""MUFL"": 0.004547, ""MULL"": 0.003839, ""LUFL"": 0.003223, ""LULL"": 0.004979}",
7,-0.08571428571428573,0.8717434402332361,0.942857142857143,MUFL,HULL,False,"{""MUFL"": 0.172667, ""MULL"": 0.149279, ""LUFL"": 0.131462, ""LULL"": 0.13063, ""HULL"": 0.119357, ""HUFL"": 0.115951}","{""HUFL"": 0.001556, ""HULL"": 0.003973, ""MUFL"": 0.002228, ""MULL"": 0.002708, ""LUFL"": 0.003943, ""LULL"": 0.002989}",
8,-0.08571428571428573,0.8717434402332361,0.3714285714285715,MULL,LULL,False,"{""MULL"": 0.173591, ""MUFL"": 0.154115, ""HUFL"": 0.12268, ""LUFL"": 0.119703, ""LULL"": 0.119451, ""HULL"": 0.106734}","{""HUFL"": 0.005781, ""HULL"": 0.00503, ""MUFL"": 0.004771, ""MULL"": 0.005636, ""LUFL"": 0.004515, ""LULL"": 0.021544}",
9,-0.6571428571428573,0.1561749271137024,-0.3142857142857143,MUFL,LULL,False,"{""MUFL"": 0.165429, ""MULL"": 0.134333, ""LULL"": 0.125887, ""HUFL"": 0.121063, ""HULL"": 0.116476, ""LUFL"": 0.114073}","{""HUFL"": 0.001794, ""HULL"": 0.001857, ""MUFL"": 0.001714, ""MULL"": 0.001767, ""LUFL"": 0.001899, ""LULL"": 0.002198}",
10,-0.5428571428571429,0.26570262390670546,0.4285714285714286,MUFL,LULL,False,"{""MUFL"": 0.164609, ""MULL"": 0.133811, ""LUFL"": 0.131128, ""HUFL"": 0.114206, ""LULL"": 0.106442, ""HULL"": 0.103277}","{""HUFL"": 0.027547, ""HULL"": 0.027512, ""MUFL"": 0.023465, ""MULL"": 0.023448, ""LUFL"": 0.035792, ""LULL"": 0.03945}",
11,-0.2571428571428572,0.6227871720116619,-0.5428571428571429,MULL,LUFL,False,"{""MULL"": 0.156421, ""MUFL"": 0.154468, ""LUFL"": 0.146247, ""HUFL"": 0.123466, ""HULL"": 0.117092, ""LULL"": 0.110855}","{""HUFL"": 0.00267, ""HULL"": 0.005498, ""MUFL"": 0.004611, ""MULL"": 0.001994, ""LUFL"": 0.012133, ""LULL"": 0.004471}",
12,-0.2571428571428572,0.6227871720116619,0.6,MUFL,LULL,False,"{""MUFL"": 0.159562, ""MULL"": 0.144104, ""HUFL"": 0.121615, ""HULL"": 0.121231, ""LULL"": 0.118924, ""LUFL"": 0.110552}","{""HUFL"": 0.013426, ""HULL"": 0.01478, ""MUFL"": 0.009055, ""MULL"": 0.016012, ""LUFL"": 0.010227, ""LULL"": 0.024521}",
13,-0.6,0.208,-0.8857142857142858,MUFL,LULL,False,"{""MUFL"": 0.207985, ""MULL"": 0.135381, ""HUFL"": 0.129368, ""LUFL"": 0.127644, ""HULL"": 0.118854, ""LULL"": 0.114485}","{""HUFL"": 0.005027, ""HULL"": 0.006829, ""MUFL"": 0.002419, ""MULL"": 0.00847, ""LUFL"": 0.006835, ""LULL"": 0.009833}",
14,0.6,0.208,0.5428571428571429,LULL,LULL,True,"{""LULL"": 0.168353, ""LUFL"": 0.158951, ""MUFL"": 0.145299, ""HUFL"": 0.142674, ""MULL"": 0.124501, ""HULL"": 0.110079}","{""HUFL"": 0.019291, ""HULL"": 0.022826, ""MUFL"": 0.018056, ""MULL"": 0.01581, ""LUFL"": 0.025152, ""LULL"": 0.029137}",
15,0.942857142857143,0.004804664723032055,-0.4285714285714286,MUFL,MUFL,True,"{""MUFL"": 0.153389, ""LUFL"": 0.140893, ""HUFL"": 0.138608, ""LULL"": 0.136743, ""MULL"": 0.122444, ""HULL"": 0.112619}","{""HUFL"": 0.439646, ""HULL"": 0.395937, ""MUFL"": 0.45426, ""MULL"": 0.361788, ""LUFL"": 0.450114, ""LULL"": 0.404603}",
