window,rho,p_value,rho_random,top_attention_covariate,top_sensitivity_covariate,top_driver_match,importance,sensitivity,error
0,1.0,0.0,0.19999999999999998,Volume,Volume,True,"{""Volume"": 0.282169, ""High"": 0.187558, ""Open"": 0.174331, ""Low"": 0.162869}","{""Open"": 0.000444, ""High"": 0.00048, ""Low"": 0.000393, ""Volume"": 0.000838}",
1,0.39999999999999997,0.6,0.7999999999999999,Volume,Volume,True,"{""Volume"": 0.266843, ""High"": 0.181555, ""Open"": 0.175241, ""Low"": 0.165831}","{""Open"": 0.00105, ""High"": 0.001061, ""Low"": 0.001078, ""Volume"": 0.002538}",
2,-0.39999999999999997,0.6,0.7999999999999999,Volume,Low,False,"{""Volume"": 0.309343, ""Open"": 0.174119, ""High"": 0.170065, ""Low"": 0.161734}","{""Open"": 0.001616, ""High"": 0.00181, ""Low"": 0.00205, ""Volume"": 0.001878}",
3,-0.39999999999999997,0.6,0.7999999999999999,Volume,High,False,"{""Volume"": 0.306522, ""Open"": 0.175489, ""High"": 0.166566, ""Low"": 0.164393}","{""Open"": 0.000912, ""High"": 0.000918, ""Low"": 0.000908, ""Volume"": 0.000501}",
4,0.7999999999999999,0.2000000000000001,0.39999999999999997,Volume,Volume,True,"{""Volume"": 0.26596, ""Open"": 0.183489, ""Low"": 0.179518, ""High"": 0.177205}","{""Open"": 0.001159, ""High"": 0.001133, ""Low"": 0.00126, ""Volume"": 0.00194}",
5,0.39999999999999997,0.6,0.7999999999999999,Volume,Volume,True,"{""Volume"": 0.281313, ""High"": 0.181052, ""Low"": 0.176456, ""Open"": 0.170677}","{""Open"": 0.003682, ""High"": 0.003586, ""Low"": 0.004194, ""Volume"": 0.007196}",
6,-0.7999999999999999,0.2000000000000001,-0.6000000000000001,Volume,High,False,"{""Volume"": 0.262722, ""Low"": 0.185916, ""High"": 0.181035, ""Open"": 0.177872}","{""Open"": 0.004398, ""High"": 0.004742, ""Low"": 0.004053, ""Volume"": 0.002679}",
7,-0.7999999999999999,0.2000000000000001,0.7999999999999999,Volume,Low,False,"{""Volume"": 0.274165, ""High"": 0.181676, ""Low"": 0.173797, ""Open"": 0.171762}","{""Open"": 0.000659, ""High"": 0.000654, ""Low"": 0.000681, ""Volume"": 0.000471}",
8,-0.39999999999999997,0.6,-1.0,Volume,High,False,"{""Volume"": 0.268236, ""High"": 0.183143, ""Low"": 0.180554, ""Open"": 0.172117}","{""Open"": 0.001048, ""High"": 0.00105, ""Low"": 0.000971, ""Volume"": 0.000755}",
9,-0.6000000000000001,0.4,0.19999999999999998,Volume,Low,False,"{""Volume"": 0.289633, ""High"": 0.177197, ""Low"": 0.17459, ""Open"": 0.171409}","{""Open"": 0.001212, ""High"": 0.00096, ""Low"": 0.001487, ""Volume"": 0.00102}",
10,-0.39999999999999997,0.6,-0.39999999999999997,Volume,Low,False,"{""Volume"": 0.298768, ""High"": 0.179807, ""Low"": 0.172917, ""Open"": 0.168036}","{""Open"": 0.002899, ""High"": 0.002925, ""Low"": 0.003096, ""Volume"": 0.001271}",
11,-0.7999999999999999,0.2000000000000001,0.39999999999999997,Volume,Low,False,"{""Volume"": 0.261472, ""High"": 0.191783, ""Open"": 0.1781, ""Low"": 0.177279}","{""Open"": 0.005242, ""High"": 0.005426, ""Low"": 0.006811, ""Volume"": 0.004021}",
12,-0.7999999999999999,0.2000000000000001,0.0,Volume,Low,False,"{""Volume"": 0.272486, ""High"": 0.185207, ""Low"": 0.18067, ""Open"": 0.17012}","{""Open"": 0.004714, ""High"": 0.004712, ""Low"": 0.004919, ""Volume"": 0.003808}",
