window,rho,p_value,rho_random,top_attention_covariate,top_sensitivity_covariate,top_driver_match,importance,sensitivity,error
0,-0.5,0.6666666666666666,-0.5,precipitation,temp_min,False,"{""precipitation"": 0.278965, ""temp_min"": 0.207574, ""wind"": 0.199437}","{""precipitation"": 0.227586, ""temp_min"": 0.271136, ""wind"": 0.242261}",
1,-0.5,0.6666666666666666,0.5,precipitation,wind,False,"{""precipitation"": 0.266587, ""temp_min"": 0.246408, ""wind"": 0.215661}","{""precipitation"": 0.017382, ""temp_min"": 0.012214, ""wind"": 0.02693}",
2,1.0,0.0,0.5,precipitation,precipitation,True,"{""precipitation"": 0.294297, ""temp_min"": 0.230295, ""wind"": 0.220755}","{""precipitation"": 0.025718, ""temp_min"": 0.021938, ""wind"": 0.018174}",
3,0.5,0.6666666666666666,0.5,precipitation,temp_min,False,"{""precipitation"": 0.251976, ""temp_min"": 0.249126, ""wind"": 0.225906}","{""precipitation"": 0.009114, ""temp_min"": 0.018949, ""wind"": 0.00552}",
4,1.0,0.0,0.5,temp_min,temp_min,True,"{""temp_min"": 0.247691, ""precipitation"": 0.244173, ""wind"": 0.232554}","{""precipitation"": 0.008075, ""temp_min"": 0.018776, ""wind"": 0.005235}",
5,0.5,0.6666666666666666,-0.5,precipitation,precipitation,True,"{""precipitation"": 0.280427, ""temp_min"": 0.245614, ""wind"": 0.216022}","{""precipitation"": 0.027051, ""temp_min"": 0.005266, ""wind"": 0.006648}",
6,-0.5,0.6666666666666666,-0.5,precipitation,wind,False,"{""precipitation"": 0.285214, ""temp_min"": 0.231741, ""wind"": 0.212057}","{""precipitation"": 0.012256, ""temp_min"": 0.006585, ""wind"": 0.014661}",
7,-0.5,0.6666666666666666,0.5,precipitation,wind,False,"{""precipitation"": 0.271275, ""wind"": 0.243468, ""temp_min"": 0.217903}","{""precipitation"": 0.042229, ""temp_min"": 0.044789, ""wind"": 0.047874}",
8,-0.5,0.6666666666666666,1.0,precipitation,wind,False,"{""precipitation"": 0.26775, ""wind"": 0.233906, ""temp_min"": 0.231569}","{""precipitation"": 0.022893, ""temp_min"": 0.026797, ""wind"": 0.043356}",
9,-0.5,0.6666666666666666,-0.5,precipitation,temp_min,False,"{""precipitation"": 0.272197, ""wind"": 0.230745, ""temp_min"": 0.220538}","{""precipitation"": 0.051708, ""temp_min"": 0.055012, ""wind"": 0.048647}",
10,1.0,0.0,0.5,precipitation,precipitation,True,"{""precipitation"": 0.250591, ""wind"": 0.245585, ""temp_min"": 0.24361}","{""precipitation"": 0.047976, ""temp_min"": 0.025574, ""wind"": 0.039466}",
11,0.5,0.6666666666666666,-0.5,precipitation,precipitation,True,"{""precipitation"": 0.287567, ""temp_min"": 0.253564, ""wind"": 0.216907}","{""precipitation"": 0.065073, ""temp_min"": 0.04686, ""wind"": 0.053961}",
12,-0.5,0.6666666666666666,-1.0,precipitation,temp_min,False,"{""precipitation"": 0.293883, ""temp_min"": 0.245703, ""wind"": 0.21434}","{""precipitation"": 0.007023, ""temp_min"": 0.035822, ""wind"": 0.03455}",
13,-0.5,0.6666666666666666,0.5,precipitation,temp_min,False,"{""precipitation"": 0.279037, ""temp_min"": 0.249454, ""wind"": 0.226316}","{""precipitation"": 0.00619, ""temp_min"": 0.025028, ""wind"": 0.019567}",
14,-0.5,0.6666666666666666,1.0,precipitation,temp_min,False,"{""precipitation"": 0.27098, ""temp_min"": 0.235953, ""wind"": 0.211226}","{""precipitation"": 0.042512, ""temp_min"": 0.063143, ""wind"": 0.046349}",
15,1.0,0.0,0.5,temp_min,temp_min,True,"{""temp_min"": 0.253184, ""precipitation"": 0.245382, ""wind"": 0.220492}","{""precipitation"": 0.010536, ""temp_min"": 0.023103, ""wind"": 0.005615}",
16,-1.0,0.0,-0.5,precipitation,wind,False,"{""precipitation"": 0.264889, ""temp_min"": 0.257351, ""wind"": 0.210539}","{""precipitation"": 0.008617, ""temp_min"": 0.02149, ""wind"": 0.030149}",
17,0.5,0.6666666666666666,1.0,precipitation,precipitation,True,"{""precipitation"": 0.260973, ""temp_min"": 0.226447, ""wind"": 0.213629}","{""precipitation"": 0.030333, ""temp_min"": 0.024735, ""wind"": 0.029237}",
18,1.0,0.0,0.5,precipitation,precipitation,True,"{""precipitation"": 0.271618, ""wind"": 0.236828, ""temp_min"": 0.23005}","{""precipitation"": 0.032497, ""temp_min"": 0.014512, ""wind"": 0.029724}",
19,-1.0,0.0,0.5,temp_min,wind,False,"{""temp_min"": 0.251462, ""precipitation"": 0.247655, ""wind"": 0.224071}","{""precipitation"": 0.01529, ""temp_min"": 0.010797, ""wind"": 0.016596}",
